case_id,status,evidence
T003,In progress,"build 1.0.0+3: main tabs aligned against supplied light and dark references; 390-light/320-dark populated shelf, grid/list, search and keyboard tests pass; U04-U12 and native typography/motion remain open"
IMPORT-IOS,Fixed in code,"build 1.0.0+2: extension-only failure reproduced with real FileSelectorIOS adapter; corrected book/TXT/JSON/font groups pass; native picker and device imports not yet verified"
T001,In progress,"Android Debug APK assembled and structurally inspected, 2026-09-13; iOS build remains unavailable on Windows"
T019,Implemented,"PageTurnPolicy and widget drag tests: flutter test, 2026-09-13; device verification pending"
T059,Superseded,"User lifted blanket JS ban 2026-09-13; explicit script runtime added; native Windows QuickJS transformations and selector bridge tested; iOS runtime and pathological scripts remain unverified"
T060,Superseded,"JS markers no longer disable imports; original native-library bridge integrations remain unsupported; see D04"
READER-VIEWPORT,Implemented,"build 1.0.0+4: bounded viewport pagination, multi-paragraph flow, UTF-16 anchor persistence, small title and corner controls; layout/turn/theme widget test and PNG reviewed; full Books animation/menu parity remains open"
READER-BOOKS-CHROME,Implemented,"build 1.0.0+5: entire 52.26s supplied recording reviewed; immersive chrome, expanded menu, contents, in-book search and 3x2 appearance panel implemented; widget navigation and visual PNG checks pass; native iOS typography/blur and page curl pending"
READER-TOOLS,Implemented,"build 1.0.0+6: draggable progress capsule, persistent bookmarks/notes with jump lists, native-share/TTS calls, transition/day-night/brightness persistence; 93 tests and Android Debug build pass; native device behavior pending"
T055,Implemented,"SyncWhitelistPolicy unit tests reject bodies, files, fonts, audio, credentials and private locators: flutter test, 2026-09-13; network inspection pending"
T004,Implemented,"Glass reader menu widget opens/closes without changing page content: flutter test, 2026-09-13; device animation stress pending"
T020,Implemented,"Drag-reactive page-curl CustomPainter widget surface: flutter test, 2026-09-13; device visual/performance validation pending"
T038,In progress,"Platform TTS is wired for foreground current-page playback in build 1.0.0+6; state-machine tests pass; offline voice choice, interruptions, background/lock-screen and device behavior pending"
T051,Implemented,"Immutable event merger preserves concurrent progress branches: flutter test, 2026-09-13; two-device WebDAV pending"
T049,Implemented,"Mocked WebDAV immutable-event PUT/readback/PROPFIND tests cover conditional upload, DAV namespaces and hash validation: flutter test, 2026-09-13; real endpoint pending"
T013,Implemented,"TXT normalization handles BOM, CR/LF and empty blocks: flutter test, 2026-09-13; file/encoding integration pending"
T014,Implemented,"Grapheme-safe anchor and chunk tests cover Chinese, emoji, combining characters and URLs: flutter test, 2026-09-13; visual pagination pending"
T015,In progress,"TXT picker and UTF-8/cancel/malformed-byte tests: flutter test, 2026-09-13; large-file/cancel/reimport and persistence pending"
T007,Implemented,"Mixed valid/malformed importer fixture and active-binding reimport preservation: flutter test, 2026-09-13; live source import pending"
T008,Implemented,"Mocked paged catalogue fixture de-duplicates URLs and breaks cyclic next links: flutter test, 2026-09-13; live source pending"
T030,Implemented,"Persistent binding store serializes competing commits and restores source anchor after reopen: flutter test, 2026-09-13; forced Android process termination pending"
T035,Implemented,"Download-manager fixture proves cancellation does not mark a chapter complete or write its cache: flutter test, 2026-09-13; disk-full/device network loss pending"
T037,Implemented,"Binding-revision mismatch cancels download before a request and cache keys include source identity: flutter test, 2026-09-13; live source pending"
T061,Implemented,"Mocked HTML with script markup/event attributes is parsed as inert data without a WebView: flutter test, 2026-09-13"
T002-T003,T005-T006,T009-T012,T016-T018,T021-T029,T031-T034,T036,T038-T050,T052-T060,T062-T064,Not run,"No execution evidence"
